term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),17.17,5.94,2.89,0.01,5.33,29.01
trait.total,1.56,0.25,6.11,0,1.05,2.06
sds.total,1.34,0.59,2.27,0.03,0.16,2.51
audit.total,1.53,0.58,2.66,0.01,0.38,2.69
